Codigo	Matricula
1527630	6749KRD
1527634	6658KRD
1527407	1105KRB
1527571	4425KRD
1527637	9880KRC
1527486	9161KRC
1527471	4373KRC
1527569	6849KRC
1527295	7503KRB
1527356	1319KRC
1527473	0398KRC
1527567	9509KRB
1527617	8479KRB
1527366	5696KRB
1527519	0138KRC
1527363	0244KRC
1527371	0388KRC
1527297	0418KRB
1527479	2501KRB
1527241	9823KPZ
1527358	0511KRB
1527202	0941KRB
1527442	4176KRB
1527304	0144KRB
1527613	0968KRB
1527300	5567KPZ
1527186	4976KPZ
1527625	6289KPZ
1527360	8409KPZ
1527476	6595KPZ
1526902	6325KPB
1527200	9462KPY
1527101	4097KPZ
1527194	4011KPZ
1527146	0231KPZ
1526857	3690KPY
1526844	3469KPY
1527097	8304KPY
1527095	8289KPY
1527107	3414KPY
1527111	8427KPY
1527114	8347KPY
1526859	3435KPY
1526978	8253KPY
1526964	8226KPY
1526962	3424KPY
1527104	8398KPY
1526970	2566KPY
1527213	0903KPY
1527144	0060KPY
1526883	8537KPX
1526988	1373KPY
1526984	9587KPX
1526981	2904KPY
1525659	3735KPX
1526881	3239KPX
1525663	5799KPX
1526861	3167KPX
1526889	3117KPX
1527351	7720KPX
1526865	3231KPX
1527467	6021KPX
1526976	7114KPX
1526879	3205KPX
1526895	3141KPX
1527482	3129KPX
1527490	3218KPX
1527344	7150KPX
1526806	9239KPW
1526803	9298KPW
1525628	9259KPW
1526885	1054KPX
1525639	1862KPX
1526986	2834KPX
1525626	9197KPW
1525616	9090KPW
1526887	1626KPX
1527196	1234KPX
1525607	1691KPX
1527563	6432KPW
1525611	6731KPW
1525443	4025KPW
1525642	8640KPW
1525613	4522KPW
1525622	8083KPW
1526796	5129KPW
1525533	8647KPW
1525624	8099KPW
1525631	6434KPW
1525457	4393KPW
1525465	9546KPV
1526800	1477KPW
1525609	0844KPW
1527198	2326KPW
1525541	9796KPV
1526927	0330KPW
1525344	9260KPV
1525539	9698KPV
1525355	5520KPV
1525467	5459KPV
1525635	5789KPV
1525367	8412KPV
1525260	1254KPV
1525360	2546KPV
1525352	0749KPV
1525358	0761KPV
1525238	1301KPV
1525181	6527KPT
1525258	0101KPV
1525459	6595KPT
1525187	0183KPV
1525157	8053KPT
