codigo	matricula	fecha_matriculacion	marca	modelo	tipo	variante	clasificacion_medioambiental	combustible	cilindrada	potencia	numero_plazas	fecha_inicio_prestacion_servicio	eurotaxi	regimen_especial_eurotaxi	fecha_ini_reg_esp_eur	fecha_fin_reg_esp_eur	fecha_informe	
1527630	6749KRD	2018-10-29	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2018-10-31	FALSE	FALSE			2018-11-03	
1527634	6658KRD	2018-10-29	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2018-10-31	FALSE	FALSE			2018-11-03	
1527407	1105KRB	2018-10-26	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-26	FALSE	FALSE			2018-11-03	
1527571	4425KRD	2018-10-26	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-31	FALSE	FALSE			2018-11-03	
1527637	9880KRC	2018-10-26	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2018-10-31	FALSE	FALSE			2018-11-03	
1527486	9161KRC	2018-10-25	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	2018-10-31	FALSE	FALSE			2018-11-03	
1527471	4373KRC	2018-10-25	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	2018-10-31	FALSE	FALSE			2018-11-03	
1527569	6849KRC	2018-10-25	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2018-10-31	FALSE	FALSE			2018-11-03	
1527295	7503KRB	2018-10-24	CITROEN	CITROEN C-ELYSEE eco-glv	F	FECE	ECO	GLP / GASOLINA	1587	85	5	2018-10-26	FALSE	FALSE			2018-11-03	
1527356	1319KRC	2018-10-24	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	2018-10-26	FALSE	FALSE			2018-11-03	
