codigo	matricula	fecha_matriculacion
1527630	6749KRD	43402
1527634	6658KRD	43402
1527407	1105KRB	43399
1527571	4425KRD	43399
1527637	9880KRC	43399
1527486	9161KRC	43398
1527471	4373KRC	43398
1527569	6849KRC	43398
1527295	7503KRB	43397
1527356	1319KRC	43397
1527473	0398KRC	43397
1527567	9509KRB	43397
1527617	8479KRB	43397
1527366	5696KRB	43397
1527519	0138KRC	43397
1527363	0244KRC	43397
1527371	0388KRC	43397
1527297	0418KRB	43396
1527479	2501KRB	43396
1527241	9823KPZ	43396
1527358	0511KRB	43396
1527202	0941KRB	43396
1527442	4176KRB	43396
1527304	0144KRB	43396
1527613	0968KRB	43396
1527300	5567KPZ	43395
1527186	4976KPZ	43395
1527625	6289KPZ	43395
1527360	8409KPZ	43395
1527476	6595KPZ	43395
1526902	6325KPB	43392
1527200	9462KPY	43392
1527101	4097KPZ	43392
1527194	4011KPZ	43392
1527146	0231KPZ	43392
1526857	3690KPY	43391
1526844	3469KPY	43391
1527097	8304KPY	43391
1527095	8289KPY	43391
1527107	3414KPY	43391
1527111	8427KPY	43391
1527114	8347KPY	43391
1526859	3435KPY	43391
1526978	8253KPY	43391
1526964	8226KPY	43391
1526962	3424KPY	43391
1527104	8398KPY	43391
1526970	2566KPY	43390
1527213	0903KPY	43390
1527144	0060KPY	43390
1526883	8537KPX	43390
1526988	1373KPY	43390
1526984	9587KPX	43390
1526981	2904KPY	43390
1525659	3735KPX	43389
1526881	3239KPX	43389
1525663	5799KPX	43389
1526861	3167KPX	43389
1526889	3117KPX	43389
1527351	7720KPX	43389
1526865	3231KPX	43389
1527467	6021KPX	43389
1526976	7114KPX	43389
1526879	3205KPX	43389
1526895	3141KPX	43389
1527482	3129KPX	43389
1527490	3218KPX	43389
1527344	7150KPX	43389
1526806	9239KPW	43388
1526803	9298KPW	43388
1525628	9259KPW	43388
1526885	1054KPX	43388
1525639	1862KPX	43388
1526986	2834KPX	43388
1525626	9197KPW	43388
1525616	9090KPW	43388
1526887	1626KPX	43388
1527196	1234KPX	43388
1525607	1691KPX	43388
1527563	6432KPW	43384
1525611	6731KPW	43384
1525443	4025KPW	43384
1525642	8640KPW	43384
1525613	4522KPW	43384
1525622	8083KPW	43384
1526796	5129KPW	43384
1525533	8647KPW	43384
1525624	8099KPW	43384
1525631	6434KPW	43384
1525457	4393KPW	43384
1525465	9546KPV	43383
1526800	1477KPW	43383
1525609	0844KPW	43383
1527198	2326KPW	43383
1525541	9796KPV	43383
1526927	0330KPW	43383
1525344	9260KPV	43383
1525539	9698KPV	43383
1525355	5520KPV	43382
1525467	5459KPV	43382
1525635	5789KPV	43382
1525367	8412KPV	43382
1525260	1254KPV	43381
1525360	2546KPV	43381
1525352	0749KPV	43381
1525358	0761KPV	43381
1525238	1301KPV	43381
1525181	6527KPT	43378
1525258	0101KPV	43378
1525459	6595KPT	43378
1525187	0183KPV	43378
1525157	8053KPT	43378
1526849	7790KPT	43378
1525178	7003KPT	43378
1525349	6637KPT	43378
1525255	5899KPT	43377
1525185	2435KPT	43377
1524991	8223KPS	43376
1525173	9511KPS	43376
1525463	1459KPT	43376
1525109	9438KPS	43376
1524995	9624KPS	43376
1525094	8767KPS	43376
1524993	8108KPS	43376
1525106	8466KPS	43376
1525028	5617KPS	43375
1524928	7299KPS	43375
1524910	5765KPS	43375
1525090	6524KPS	43375
1524918	4277KPS	43375
1524914	5579KPS	43375
1524977	7544KPS	43375
1524999	4543KPS	43375
1524907	5472KPS	43375
1524748	1464KPS	43374
1524783	1504KPS	43374
1525030	4110KPS	43374
1524760	2047KPS	43374
1525032	3466KPS	43374
1524746	1442KPS	43374
1525252	9814KPR	43371
1524769	9539KPR	43371
1524687	8413KPR	43371
1524635	3128KPP	43371
1524735	9728KPP	43371
1524921	4289KPP	43371
1525454	3949KPP	43371
1524785	3537KPP	43371
1524742	0515KPP	43370
1524737	0153KPP	43370
1524752	0239KPP	43370
1524568	0453KPN	43370
1524744	1334KPN	43370
1524997	9988KPN	43370
1525597	2168KPN	43370
1524777	5022KPN	43370
1524765	9685KPM	43369
1524678	8246KPM	43369
1524498	9625KPM	43369
1524500	9785KPM	43369
1524489	2586KPM	43369
1524492	2570KPM	43369
1524565	2512KPM	43369
1524512	6982KPL	43368
1524382	6941KPL	43368
1524674	6101KPL	43368
1524364	6179KPL	43368
1524366	6164KPL	43368
1524386	0505KPM	43368
1524368	6147KPL	43368
1524527	6394KPL	43368
1525088	9105KPL	43368
1524396	7498KPL	43368
1524773	1726KPM	43368
1524904	9318KPL	43368
1524265	6173KPL	43368
1524495	1984KPM	43368
1524392	0901KPM	43368
1524506	1787KPM	43368
1525461	7196KPL	43368
1524390	2172KPL	43367
1524370	3027KPL	43367
1524245	2188KPL	43367
1524249	4896KPL	43367
1524269	2340KPL	43367
1524755	5526KPL	43367
1524267	5095KPL	43367
1524443	2343KPL	43367
1524349	2178KPL	43367
1524771	4552KPL	43367
1524243	5231KPL	43367
1524394	2423KPL	43367
1524763	3030KPL	43367
1524379	3028KPL	43367
1524767	3031KPL	43367
1524481	2784KPL	43367
1524185	1745KPL	43364
1524247	8562KPK	43364
1524187	8320KPK	43364
1524180	7760KPK	43364
1524351	7403KPK	43364
1524780	2084KPL	43364
1524183	4841KPK	43363
1524189	4963KPK	43363
