Codigo	Matricula	Fecha Matriculacion	Marca	Modelo	Tipo	Variante	Clasificacion medioambiental	Combustible	Cilindrada	Potencia	Numero de Plazas	Fecha inicio de prestacion del servicio de taxi	Eurotaxi	Regimen Especial de Eurotaxi	Fecha inicio Regimen Especial Eurotaxi	Fecha fin Regimen Especial Eurotaxi	Fecha
1527630	6749KRD	29/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	31/10/18	NO	NO			3/11/18
1527634	6658KRD	29/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	31/10/18	NO	NO			3/11/18
1527407	1105KRB	26/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	26/10/18	NO	NO			3/11/18
1527571	4425KRD	26/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	31/10/18	NO	NO			3/11/18
1527637	9880KRC	26/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	31/10/18	NO	NO			3/11/18
1527486	9161KRC	25/10/18	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	31/10/18	NO	NO			3/11/18
1527471	4373KRC	25/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	31/10/18	NO	NO			3/11/18
1527569	6849KRC	25/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	31/10/18	NO	NO			3/11/18
1527295	7503KRB	24/10/18	CITROEN	CITROEN C-ELYSEE eco-glv	F	FECE	ECO	GLP / GASOLINA	1587	85	5	26/10/18	NO	NO			3/11/18
1527356	1319KRC	24/10/18	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	26/10/18	NO	NO			3/11/18
1527473	0398KRC	24/10/18	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	29/10/18	NO	NO			3/11/18
1527567	9509KRB	24/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	31/10/18	NO	NO			3/11/18
1527617	8479KRB	24/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	31/10/18	NO	NO			3/11/18
1527366	5696KRB	24/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	29/10/18	NO	NO			3/11/18
1527519	0138KRC	24/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	29/10/18	NO	NO			3/11/18
1527363	0244KRC	24/10/18	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	26/10/18	NO	NO			3/11/18
1527371	0388KRC	24/10/18	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	29/10/18	NO	NO			3/11/18
1527297	0418KRB	23/10/18	CITROEN	CITROEN C-ELYSEE eco-glv	F	FECE	ECO	GLP / GASOLINA	1587	85	5	26/10/18	NO	NO			3/11/18
1527479	2501KRB	23/10/18	DACIA	LODGY	SD	0JES	ECO	GLP / GASOLINA	1598	80	5	29/10/18	NO	NO			3/11/18
1527241	9823KPZ	23/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	29/10/18	NO	NO			3/11/18
